

previous 1 words
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 25		67.9068		102.879		109.007		82.7115716133
Hour 26		67.3176		102.497		108.762		82.7819636784
Hour 27		66.6689		101.865		108.274		82.6382583058
Hour 28		66.2485		102.058		108.24		82.6295728627
Hour 29		65.5645		101.148		107.442		82.5934776005
Hour 30		64.8892		100.772		106.9		82.3637013536
Hour 31		64.4917		100.727		106.565		82.2903505082
Hour 32		64.0044		100.188		106.395		82.3475266554
Hour 33		63.5205		99.9579		106.197		82.2356249991
Hour 34		63.1265		100.091		106.28		82.5323292748
Hour 35		62.5103		99.1334		105.22		82.1523421499
Hour 36		62.1631		99.319		105.172		82.1787288654
Hour 37		61.691		98.8664		105.065		82.1573321854
Hour 38		61.2734		98.7627		104.685		82.1504670097
Hour 39		60.9643		98.2961		104.563		82.2087126379
Hour 40		60.5432		98.4584		104.155		81.9651574735



previous 4 words
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		151.517		166.275		177.279		92.7047169737
Hour 2		126.777		147.966		157.305		90.0397940024
Hour 3		115.209		140.002		149.143		88.5714672972
Hour 4		106.114		132.583		141.509		87.3949706503
Hour 5		100.39		129.112		137.476		86.7321450998
Hour 6		95.8073		126.013		133.874		86.2270180462
Hour 7		91.8147		122.492		130.329		85.5845382688
Hour 8		88.8619		120.502		128.481		85.2755753667
Hour 9		86.634		119.46		127.184		84.9381506837
Hour 10		84.1302		117.273		125.126		84.7807535076
Hour 11		81.9196		116.023		123.589		84.6271887461
Hour 12		80.3256		114.935		122.364		84.4788887814
Hour 13		78.3722		113.232		120.495		84.0136277973
Hour 14		77.0443		112.252		119.657		83.8702033375
Hour 15		75.5769		111.398		118.744		83.9295624596
Hour 16		74.2047		110.405		117.64		83.7097380933
Hour 17		73.3668		110.797		117.441		83.679196481
Hour 18		72.0936		109.317		116.345		83.5348608276
Hour 19		70.9269		108.304		115.665		83.5474331922
Hour 20		70.0413		107.96		114.966		83.4023214997
Hour 21		69.2325		108.028		114.994		83.5543098134
Hour 22		68.2491		107.191		113.979		83.3049780209
Hour 23		67.4463		106.591		113.377		83.1016080243
Hour 24		66.7464		106.203		113.075		83.0996552258
Hour 25		66.1497		105.932		112.861		83.0520026337
Hour 26		65.3348		105.04		111.994		82.9852544124
Hour 27		64.7432		104.749		111.531		82.84669287
Hour 28		63.9919		104.367		111.045		82.8788932819
Hour 29		63.4575		104.168		110.851		82.850992364
Hour 30		62.8909		103.45		110.271		82.6263064502
Hour 31		62.3558		103.191		110.152		82.8334579276
Hour 32		61.8504		103.064		109.726		82.6838675626
Hour 33		61.2655		102.924		109.602		82.7217339112
Hour 34		60.8216		102.687		109.265		82.6055153549
Hour 35		60.349		102.314		108.934		82.6313670924
Hour 36		59.8321		101.805		108.454		82.5395420135
Hour 37		59.4967		101.928		108.692		82.6164249801
Hour 38		58.9691		101.473		107.982		82.4176089284
Hour 39		58.6586		101.42		107.987		82.5435239119
Hour 40		58.1722		101.039		107.643		82.4187505044



previous 5 words
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		159.189		173.625		185.282		94.2901502854
Hour 2		131.51		154.18		164.151		90.4235650637
Hour 3		117.622		144.019		153.006		88.943590608
Hour 4		108.473		137.286		145.697		87.6994471069
Hour 5		102.821		133.209		142.032		87.156680563
Hour 6		98.1089		131.02		138.834		86.8067498762
Hour 7		93.4435		126.742		134.242		85.7828117154
Hour 8		89.7875		124.195		131.661		85.4324860615
Hour 9		87.1778		122.733		130.451		85.5363701962
Hour 10		85.1928		120.912		128.834		85.0914954335
Hour 11		82.4014		119.07		126.594		84.7212671852
Hour 12		80.597		117.575		125.65		84.9068892913
Hour 13		78.8531		116.827		124.759		84.7803276993
Hour 14		77.5949		117.072		124.02		84.6020984817
Hour 15		75.8541		114.815		122.349		84.3472186217
Hour 16		74.473		113.748		121.06		84.2329439981
Hour 17		73.0574		112.5		119.977		83.8151249116
Hour 18		72.0231		111.827		119.226		83.6822287062
Hour 19		70.8714		111.877		119.195		83.9580059706
Hour 20		69.8898		110.477		118.15		83.7514369153
Hour 21		69.027		110.511		117.717		83.6262502014
Hour 22		67.9565		109.506		116.979		83.6243621558
Hour 23		67.1771		109.062		116.325		83.5828521121
Hour 24		66.4739		108.5		115.832		83.2687015538
Hour 25		65.5751		107.914		115.085		83.1713618273
Hour 26		65.2257		107.665		115.116		83.2443862044
Hour 27		64.1297		107.114		114.371		83.1749629541
Hour 28		63.5346		106.717		113.891		83.0875147866
Hour 29		62.8703		106.397		113.383		83.0175534992
Hour 30		62.4081		105.93		113.015		82.9703644326
Hour 31		61.9377		106.157		113.113		83.0205508863
Hour 32		61.3718		106.076		113.017		83.2011091648
Hour 33		60.6164		104.777		112.12		82.8927318038
Hour 34		60.2458		104.922		111.775		82.8275764409
Hour 35		59.6743		104.319		111.375		82.7441148503
Hour 36		59.3485		104.972		111.758		83.0560571949
Hour 37		58.7581		104.03		111.15		82.8731383316
Hour 38		58.3067		103.843		110.744		82.7195083413
Hour 39		57.8163		103.32		110.356		82.7173885361
Hour 40		57.4366		103.014		110.212		82.6310572698



previous 2 words (initialed by model using previous 1 words and trained 10 hours)
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		92.7002		109.362		115.479		83.5378912288
Hour 2		88.4553		107.261		112.703		82.9835540688
Hour 3		86.0708		106.635		112.134		82.853753174
Hour 4		83.7804		105.323		110.692		82.8556127089
Hour 5		82.1093		104.375		109.79		82.6581956554
Hour 6		80.7261		103.823		109.475		82.7079540784
Hour 7		79.4459		103.328		108.595		82.5599764127
Hour 8		78.2793		102.827		108.157		82.5400231958
Hour 9		77.1586		102.064		107.293		82.3860335142
Hour 10		76.3454		101.822		107.229		82.5157294296



previous 3 words (initialed by model using previous 2 words and trained 10 hours)
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		72.0975		97.7699		103.518		81.107461044
Hour 2		70.3386		97.5796		103.175		81.1952633471
Hour 3		68.8841		97.0331		102.659		81.0841813058
Hour 4		67.9634		96.8198		102.612		81.1484793068
Hour 5		67.025		96.6061		102.514		81.2921385292
Hour 6		66.2024		96.1136		101.977		81.1214385112
Hour 7		65.3646		96.1318		101.745		81.1287462356
Hour 8		64.7917		95.9659		101.739		81.1583490529
Hour 9		64.1266		95.6619		101.526		81.1649922038
Hour 10		63.447		95.4631		101.6		81.3299848371



previous 4 words (initialed by model using previous 3 words and trained 10 hours)
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		61.8094		94.7176		100.599		80.8253990412
Hour 2		60.6522		94.4983		100.368		80.6523614856
Hour 3		59.7614		94.1958		100.048		80.5781941396
Hour 4		59.0659		94.2183		100.304		80.6193404058
Hour 5		58.5118		94.3793		100.298		80.8966735601
Hour 6		57.8953		94.8094		100.719		80.8947886091
Hour 7		57.4559		94.7273		100.639		80.9911619017
Hour 8		56.8194		94.2944		100.311		80.906852212
Hour 9		56.4211		94.5998		100.456		80.9486878849
Hour 10		56.0484		94.316		100.341		81.0592562954



Model using previous 4 words and D=25
		training set	validation set	testing set	+Kneser-Ney smoothing 
Hour 1		205.362		202.402		216.577		97.6302483359
Hour 2		136.425		156.615		167.111		90.6422236309
Hour 3		118.562		142.319		152.136		88.4749867389
Hour 4		110.088		136.237		145.157		87.4042036452
Hour 5		104.089		130.473		139.211		86.3110370018
Hour 6		99.9009		126.802		135.597		85.8857472713
Hour 7		96.5277		123.912		132.387		85.3503721152
Hour 8		93.8635		121.591		129.943		84.8235257598
Hour 9		91.6586		119.749		127.925		84.4439497267
Hour 10		89.547		117.279		125.636		84.0305790329
Hour 11		88.1182		116.624		124.34		83.7323645207
Hour 12		86.7257		115.151		123.04		83.5977019576
Hour 13		85.4199		113.894		121.488		83.1547882448
Hour 14		84.1126		113.047		120.549		82.9502184601
